City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
תל אביב -יפו,כוכב הצפון,1,6,2,221,68069,6,157,270,5,2,4,274
תל אביב -יפו,כפיר,3,9,1,196,318283,3,174,189,3,2,3,199
תל אביב -יפו,כפר שלם מזרח נווה אליעזר,2,6,2,234,328180,2,139,166,1,2,7,155
תל אביב -יפו,כפר שלם מערב נווה ברבור,2,9,2,234,128019,2,165,189,5,1,3,129
תל אביב -יפו,כרם התימנים,2,2,2,183,257762,3,283,299,4,8,10,117
תל אביב -יפו,לב העיר,9,38,4,185,278061,6,317,325,52,131,18,96
תל אביב -יפו,ליבנה ידידיה,1,5,2,256,319224,5,160,181,6,1,1,160
תל אביב -יפו,מונטיפיורי,7,3,2,230,192554,3,260,239,5,43,1,83
תל אביב -יפו,מעוז אביב,2,2,2,196,154623,2,130,178,5,3,4,127
תל אביב -יפו,מרכז הירידים,2,9,2,234,24134,3,149,224,1,4,4,170
תל אביב -יפו,נאות אפקה א,1,7,2,298,201363,3,156,177,4,2,4,259
תל אביב -יפו,נאות אפקה ב,2,9,2,234,187422,3,196,169,3,3,4,166
תל אביב -יפו,נוה חן,2,12,2,188,161825,1,115,187,2,4,1,190
תל אביב -יפו,נווה אביבים וסביבתה,3,19,3,292,274716,5,160,202,7,6,2,177
תל אביב -יפו,נווה דן,1,12,2,327,149050,3,159,198,5,2,1,205
תל אביב -יפו,נווה צדק,3,15,1,222,293254,4,310,339,5,10,11,162
תל אביב -יפו,נווה שאנן,1,15,1,290,122043,1,321,336,17,37,5,190
תל אביב -יפו,נווה שרת,4,8,2,239,103967,2,174,253,5,2,10,255
תל אביב -יפו,נופי ים,1,8,2,210,62665,4,170,247,5,4,4,187
תל אביב -יפו,נחלת יצחק,1,13,1,237,54038,6,164,253,2,12,2,104
תל אביב -יפו,ניר אביב,2,3,2,234,262213,2,123,168,2,4,4,206
תל אביב -יפו,נמל תל-אביב,2,9,2,234,206678,1,240,254,5,16,4,4
תל אביב -יפו,עג'מי וגבעת עליה,7,14,3,156,140851,5,112,141,10,15,7,134
תל אביב -יפו,עתידים,2,9,2,234,67296,3,186,261,4,21,4,38
תל אביב -יפו,פארק החורשות,2,9,2,371,200963,2,208,255,5,1,4,93
תל אביב -יפו,פלורנטין,2,7,2,273,297131,3,304,343,8,8,5,97
תל אביב -יפו,צהלה,1,2,1,264,151305,2,195,190,3,3,1,263
תל אביב -יפו,צהלון ושיכוני חיסכון,8,21,1,144,259807,6,134,164,11,5,3,161
תל אביב -יפו,צוקי אביב,3,1,2,1475,51037,1,154,296,5,4,4,298
תל אביב -יפו,צמרות איילון,2,3,2,234,16977,2,238,158,5,2,4,299
תל אביב -יפו,צפון יפו,6,9,1,175,385664,3,223,274,17,22,4,106
תל אביב -יפו,קרית שאול,2,2,2,234,59273,3,226,201,5,4,4,159
