,City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
152,רמת השרון,קרית יערים,1.0,7.0,1.0,288.0,34497.0,1.0,154.0,390.0,7.0,20.0,2.0,186.0
153,רעננה,2003,0.0,3.0,0.0,0.0,75838.0,1.0,237.0,202.0,0.0,2.0,0.0,165.0
154,רעננה,2004,0.0,1.0,0.0,0.0,30305.0,,466.0,231.0,0.0,0.0,0.0,232.0
155,רעננה,2008,0.0,0.0,0.0,0.0,14181.0,,486.0,201.0,0.0,0.0,1.0,112.0
156,רעננה,אשר,1.0,2.0,3.0,302.0,104129.0,5.0,287.0,184.0,3.0,2.0,1.0,181.0
157,רעננה,לב הפארק,2.0,8.0,1.0,549.0,14961.0,2.0,321.0,274.0,3.0,1.0,0.0,336.0
158,רעננה,לסטר/רבוצקי,,,,,,,,,,,,
159,רעננה,מרכז,11.0,20.0,10.0,185.0,168218.0,11.0,288.0,148.0,51.0,91.0,11.0,110.0
160,רעננה,נאות עוזי,0.0,2.0,1.0,0.0,1106.0,,402.0,351.0,1.0,0.0,0.0,571.0
161,רעננה,נווה זמר,0.0,0.0,0.0,0.0,38920.0,,245.0,232.0,0.0,1.0,0.0,270.0
162,רעננה,פארק מסחר ותעשיה רעננה צפון,0.0,0.0,0.0,0.0,40606.0,,398.0,243.0,7.0,69.0,1.0,32.0
163,רעננה,פרדס משותף,1.0,5.0,3.0,215.0,98913.0,4.0,355.0,161.0,5.0,3.0,1.0,202.0
164,רעננה,קזן,1.0,9.0,2.0,238.0,121207.0,5.0,321.0,139.0,10.0,13.0,1.0,122.0
165,רעננה,קריית אליהו גולומב,3.0,8.0,2.0,311.0,75380.0,4.0,368.0,207.0,2.0,8.0,4.0,130.0
166,רעננה,קריית בן צבי(רסקו,,,,,,,,,,,,
